team_no,knowcat_1,knowcat_2,knowcat_3,knowcat_4,knowcat_5,knowcat_6,mtxScore,nsScore,crtScore,bnScore,aotScore,nfcScore
9,0.265098929,-1.390085049,-0.790106439,0.361714879,1.972223901,2.439271945,-0.805323606,-1.713850909,-1.632135108,-1.482200036,0.49917715,0.595357013
9,0.872083236,0.351387765,1.510048299,-0.468502795,0.698081451,-0.453937546,-1.857696195,0.950795472,-0.084599818,1.433858043,1.500695805,0.995231619
9,0.669755134,0.177240484,0.509981022,-1.09116605,-0.098257581,-0.453937546,-0.805323606,-1.269743179,0.431245279,1.433858043,-2.171539264,-0.73755834
9,-1.25236184,-1.041790486,-0.890113166,-0.779834423,-1.531667838,-0.453937546,0.773235277,0.506687742,0.431245279,-0.753185516,0.833016701,-0.337683734
9,-0.44304943,-0.867643205,-1.790173716,-0.987388841,-0.257525387,-0.614671407,1.299421571,1.394903202,0.947090376,1.433858043,0.49917715,0.728648548
0,1.074411339,1.396271453,-0.690099711,-0.883611632,-0.257525387,-0.453937546,-0.279137312,0.506687742,-0.084599818,-0.753185516,-0.502341505,0.195482407
0,-0.341885379,0.003093202,-1.290140077,0.154160461,0.061010225,0.028264036,1.299421571,1.394903202,0.947090376,1.433858043,1.166856253,0.595357013
0,-0.038393225,-1.390085049,0.810001205,-0.157171167,0.857349257,-0.936139128,-0.279137312,1.394903202,-0.600444914,0.704843523,0.165337598,0.995231619
0,0.467427031,-0.519348642,1.410041571,-0.883611632,-0.416793194,-0.614671407,0.247048983,-0.381527718,-0.084599818,-0.024170997,-1.503860161,-1.937182157
0,2.591872108,1.04797689,2.110088665,1.191932553,1.335152676,2.117804224,0.773235277,0.506687742,0.947090376,-0.024170997,-0.168501954,-0.204392199
